text,category
pani kal se nahi aa raha ghar me,water
water pressure bahut low hai upar tak nahi aa raha,water
tap se brown color ka pani aa raha,water
no water supply since morning,water
pani me smell aa rahi hai peene layak nahi,water
pipeline leak ho rahi hai bahut pani waste ho raha,water
3 din se pani band hai colony me,water
dirty water coming from tap,water

road bahut jyada tuti hui hai bike chalana mushkil,road
gadde itne bade hai tyre damage ho gaya,road
broken road near bus stop causing traffic,road
road repair ka kaam aadha chhod diya,road
pura road uneven hai accident ho sakta hai,road
road par pani bhar gaya driving mushkil,road
main road full of potholes,road
new road already damaged,road

kuda kachra har jagah pada hai koi safai nahi,waste
dustbin overflow ho raha aur machhar badh rahe,waste
garbage collection vehicle nahi aa raha,waste
public area me bahut gandagi hai,waste
kachra sadak par faila hua hai,waste
rotting garbage causing smell,waste
plastic waste everywhere in colony,waste
bin hamesha full rehta hai,waste

street light 3 din se band hai pura area andhera,streetlight
raat ko light nahi hoti chori ka darr lagta hai,streetlight
lights not working in our lane,streetlight
pole light blink kar rahi hai continuously,streetlight
streetlight broken after rain,streetlight
pura street dark rehta hai night me,streetlight
electric pole light fused,streetlight
timer issue se light late on hoti hai,streetlight

naali block ho gayi badbu aa rahi hai,sanitation
sewer ka pani road par aa raha hai,sanitation
drain water stuck and mosquitoes increasing,sanitation
manhole khula hai accident ho sakta hai,sanitation
gutter overflow during rain,sanitation
dirty drainage near houses,sanitation
public toilet very dirty,sanitation
sewage smell spreading in area,sanitation
