text,category
2 din se pani nahi aa raha colony me kya chal raha hai,water
tap se brown color ka pani aa raha peene layak nahi hai,water
subah ka supply aaj bhi skip ho gaya,water
pura building me pressure bahut low hai tank fill hi nahi ho raha,water
kal raat se pipeline leak ho rahi hai road bhi geela ho gaya,water
pani me ajeeb si smell aa rahi hai lagta hai gutter mix ho raha,water
har hafte water timing change ho jata hai koi fix schedule nahi,water
upar wale floor pe bilkul pani nahi aa raha,water
motor chalu hai fir bhi supply nahi aa raha,water
3 din se tanker ka wait kar rahe hai koi response nahi,water
nalko me sirf hawa aa rahi hai pani nahi,water
bahut salty pani aa raha use nahi kar sakte,water
storage tank overflow ho raha koi dekhne nahi aaya,water
water valve kharab lag raha pura flow disturb hai,water
pani itna ganda aa raha filter bhi fail ho gaya,water
roz subah pressure drop ho jata hai kaam ruk jata hai,water
pipeline crack ho gaya lagta hai seepage ho raha,water
colony ke last lane me bilkul supply nahi milti,water
supply aate hi chala jata hai 5 min bhi nahi tikta,water
water connection ke paas se leak ho raha meter bhi bheeg gaya,water
kitchen tap me pani bahut muddy aa raha,water
tank bharte bharte flow band ho jata hai,water
water shortage issue repeat ho raha har week,water
pipeline se pani road pe aa raha waste ho raha,water
borewell ka pani bhi kam ho gaya supply unreliable hai,water
ghar me chhote bachche hai clean water urgently chahiye,water
tap kholte hi smell aati hai bilkul safe nahi,water
upper society block ko supply mil raha hume nahi,water
water timing fixed nahi hai kabhi bhi aa jata hai,water
kaafi din se complaint diya but pani issue same hai,water
road pe itna bada gadda hai kal bike slip ho gayi,road
rain ke baad pura stretch toot gaya drive karna mushkil,road
patchwork kiya tha but fir se crack aa gaya,road
service lane bilkul uneven ho gaya hai,road
bridge ke paas road dhans raha hai,road
gali ka road pura kharab ho gaya tyres damage ho rahe,road
construction ke baad repair nahi kiya surface uneven hai,road
night me pothole dikhta nahi accident ho sakta hai,road
road pe loose gravel hai skid ho raha,road
main junction ka surface pura broken hai,road
school ke paas road dangerous ho gaya hai,road
road ke side ka edge collapse ho raha,road
ambulance ko bhi problem ho raha yahan se,road
gadde itne deep hai pani bhar jata pata nahi chalta,road
newly repaired road already crack ho gaya,road
road slope galat hai pani jam ho jata,road
heavy vehicles se pura road toot gaya,road
walking bhi unsafe ho gaya hai uneven surface se,road
colony entrance pe bada pothole hai,road
rain me pura stretch slippery ho jata hai,road
road ke beech me patch alag level pe hai,road
scooty le jana risky lagta daily,road
drain ka cover toot ke road me hole ban gaya,road
last 6 mahine se repair pending hai,road
road pe cement ke tukde pade hai dangerous,road
footpath bhi broken hai walk nahi ho pata,road
speed breaker ke aas paas surface toot gaya,road
rain ke baad cracks aur badh gaye,road
road ka base weak lag raha bar bar toot raha,road
pura lane ka road replacement chahiye sirf patch nahi,road
kachra 3 din se collect nahi hua smell aa raha, waste
dustbin overflow ho raha log road pe daal rahe, waste
garbage truck skip kar raha hamari gali, waste
plastic bags har jagah udd rahe, waste
colony ke corner pe illegal dumping ho raha, waste
food waste se machhar aur dogs aa rahe, waste
bin hamesha full rehta koi timely pickup nahi, waste
road side pe garbage pile grow ho raha, waste
market ke paas bahut gandagi ho gayi hai, waste
burning garbage ka smoke ghar me aa raha, waste
public area me kachra phela hua hai, waste
festival ke baad cleaning hi nahi hui, waste
hospital ke bahar bhi kachra jama hai, waste
animals dustbin gira dete sab fail jata, waste
sweeping staff dikhai hi nahi dete, waste
community bin broken hai lid nahi hai, waste
kachra pani me gir ke drain block kar raha, waste
smell itni strong hai window khol nahi sakte, waste
colony ke back side pe permanent garbage spot ban gaya, waste
wet waste aur dry mix karke daal rahe sab, waste
cleaning vehicle irregular hai kabhi aata kabhi nahi, waste
kachra collection timing clear nahi hai, waste
school ke paas garbage pile unsafe hai, waste
garbage ke wajah se insects badh rahe, waste
society gate pe hi waste dump ho raha, waste
rain me pura garbage spread ho jata, waste
road cleaning bahut irregular hai, waste
dustbin ke aas paas hi sab gira rehta, waste
waste segregation follow nahi ho raha, waste
complaint karne ke baad bhi same issue hai, waste
street light kal se band hai pura andhera,streetlight
pole light blink kar raha continuously,streetlight
timer ka issue lag raha din me bhi jal raha,streetlight
2 lights fused hai lane me,streetlight
rain ke baad light ka connection loose lag raha,streetlight
wire latak raha dangerous lag raha,streetlight
main road pe ek side pura dark hai,streetlight
night me visibility zero ho jata,streetlight
park ke paas light ka glass toot gaya,streetlight
streetlight auto on nahi ho raha evening me,streetlight
ek pole tilt ho gaya lag raha gir jayega,streetlight
light kabhi on kabhi off unstable hai,streetlight
residential area me 3 poles kaam nahi kar rahe,streetlight
electric box open pada hai near pole,streetlight
bulb replace nahi kiya weeks se,streetlight
dark zone me safety concern badh raha,streetlight
rain ke baad pura stretch dark ho gaya,streetlight
service lane me koi lighting nahi hai,streetlight
pole base weak lag raha shake ho raha,streetlight
flickering light se problem ho raha,streetlight
complaint diya tha fir bhi repair nahi hua,streetlight
lane ke end me permanent darkness hai,streetlight
wire exposed hai shock risk hai,streetlight
storm ke baad 4 lights band ho gaye,streetlight
junction pe light off hone se traffic risky hai,streetlight
bulb half glowing lag raha voltage issue ho sakta,streetlight
pole ke niche sparks dekhe gaye,streetlight
light cover missing hai open wiring dikh raha,streetlight
residential block pura dim hai,streetlight
night shift workers ko problem ho raha andhere se,streetlight
naali jam ho gayi pani bahar aa raha,sanitation
gutter overflow ho raha rain me pura road bhar gaya,sanitation
open manhole bina cover ke pada dangerous hai,sanitation
drain se bad smell aa raha lagta blockage hai,sanitation
public toilet extremely dirty use nahi kar sakte,sanitation
sewage water street pe flow kar raha,sanitation
mosquito breeding clearly dikh raha drain me,sanitation
